host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
9038810,1,Williamsburg,40.71577,-73.9553,0,295,3,11,0.87,1,1
81745867,2,Washington Heights,40.84917,-73.94048,1,70,2,2,0.16,1,0
1218837,1,Bedford-Stuyvesant,40.68993,-73.95947,1,58,2,0,,2,0
4126686,1,Bedford-Stuyvesant,40.68427,-73.93118,0,75,3,87,4.91,1,267
27698133,3,Woodside,40.74705,-73.89564,1,38,5,13,0.25,1,0
51501835,2,Hell's Kitchen,40.76354,-73.99283,0,100,30,3,0.21,31,270
7933261,2,Upper East Side,40.76786,-73.95639,0,260,7,1,1.0,1,43
1499220,2,West Village,40.73316,-74.00476,0,147,1,42,1.32,1,4
56412357,1,Greenpoint,40.72527,-73.94803,1,34,1,0,,1,0
123605746,1,Crown Heights,40.6752,-73.94366,1,65,1,0,,1,0
12485770,2,East Village,40.729,-73.98098,0,125,30,6,0.24,9,150
200380610,2,Theater District,40.76193,-73.98573,0,310,30,0,,65,338
221645033,1,Bushwick,40.69867,-73.91968,1,50,1,0,,5,329
26671786,2,East Village,40.7233,-73.97882,1,79,1,4,0.61,1,0
263883589,1,Boerum Hill,40.68906,-73.98983,0,329,30,1,1.0,2,63
41829977,3,Elmhurst,40.7479,-73.87496,1,115,1,0,,2,170
6814283,1,Bushwick,40.70218,-73.93034,0,140,3,3,0.48,1,0
13788158,1,Fort Greene,40.69265,-73.97009,0,225,3,95,1.51,2,112
51991283,2,Harlem,40.79865,-73.95295,1,149,1,0,,5,281
70528858,1,Sheepshead Bay,40.60111,-73.95702,1,50,2,7,3.82,1,124
266726110,2,Harlem,40.80485,-73.9581,1,88,30,0,,7,364
11082255,3,Flushing,40.75644,-73.82875,0,200,2,1,0.16,1,0
54743212,1,Williamsburg,40.71588,-73.94297,0,160,14,4,0.12,1,0
38956453,1,Bedford-Stuyvesant,40.6844,-73.9358,0,125,2,51,5.03,1,89
