host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
7474069,2,Washington Heights,40.8469,-73.94522,1,75,4,14,0.23,3,0
225571766,3,Jackson Heights,40.75068,-73.87739,1,80,2,5,2.5,1,57
1281637,1,Fort Greene,40.6873,-73.97225,0,140,2,1,0.02,1,0
35594087,1,Fort Greene,40.68515,-73.97381,0,134,2,15,1.91,1,41
11497855,1,Prospect-Lefferts Gardens,40.66145,-73.96005,1,65,10,1,0.02,1,0
7503643,1,Greenpoint,40.72713,-73.94141,0,159,30,7,0.12,52,327
12913455,2,East Village,40.72656,-73.98758,0,300,2,16,5.78,1,52
245960335,3,Jamaica,40.68055,-73.78263,1,95,1,0,,1,180
166873118,2,Murray Hill,40.74476,-73.9755,1,70,15,0,,1,0
51038,1,Clinton Hill,40.68634,-73.96161,0,248,2,58,0.61,6,199
71276635,2,Washington Heights,40.83571,-73.94179,0,750,1,1,1.0,5,364
84523696,1,Bushwick,40.69423,-73.91993,1,90,2,3,0.12,1,0
49704571,1,Williamsburg,40.71972,-73.94462,0,80,30,5,0.42,8,161
252445373,2,Washington Heights,40.85798,-73.92855,0,85,7,0,,1,67
70640302,1,Flatbush,40.65468,-73.95703,1,50,3,3,0.08,1,0
224806557,1,Williamsburg,40.72084,-73.9554,0,295,2,4,0.58,1,0
81379480,2,Lower East Side,40.72317,-73.99084,1,80,14,0,,1,0
59493714,2,East Village,40.72367,-73.98401,1,109,3,0,,1,0
6212988,2,West Village,40.73326,-74.00604,1,100,3,16,0.26,1,0
8261208,1,Bedford-Stuyvesant,40.68585,-73.94875,1,45,2,27,0.78,1,339
6638763,3,Ditmars Steinway,40.77906,-73.91265,0,135,3,38,0.62,1,243
251704655,0,Port Morris,40.80273,-73.91519,0,115,4,9,3.97,3,124
5338040,2,Upper East Side,40.77372,-73.94803,1,185,5,7,0.15,1,341
49290775,1,Greenpoint,40.73561,-73.95873,0,150,3,3,0.48,1,42
107434423,2,Kips Bay,40.74005,-73.97884,0,290,30,0,,232,312
168619140,1,Canarsie,40.63773,-73.91729,1,80,1,5,0.53,2,0
156958091,1,Bushwick,40.6932,-73.90639,1,65,1,26,2.52,3,0
40830538,1,Prospect-Lefferts Gardens,40.65889,-73.95627,1,45,31,3,0.27,2,242
102500495,1,East Flatbush,40.66048,-73.93335,0,80,1,127,6.54,1,7
214738765,3,Richmond Hill,40.6944,-73.83192,1,75,1,5,4.05,3,365
23612276,2,Harlem,40.82083,-73.95436,1,69,7,15,0.27,1,213
13270888,3,Astoria,40.76764,-73.91633,1,65,4,28,0.74,1,0
9787070,1,Bedford-Stuyvesant,40.69462,-73.93249,1,60,4,0,,1,0
10732706,2,Gramercy,40.73646,-73.98337,0,195,3,3,0.21,1,0
2861768,2,Harlem,40.81142,-73.95134,1,69,15,19,0.54,3,106
46407533,3,Ditmars Steinway,40.78182,-73.91248,0,160,5,2,0.09,1,0
8163703,1,Williamsburg,40.71238,-73.9559,0,150,3,12,0.28,1,0
1355958,2,East Village,40.72432,-73.98916,1,250,1,0,,2,0
7709326,1,Clinton Hill,40.69513,-73.96245,0,90,3,0,,1,0
76168072,2,Midtown,40.75974,-73.97067,0,235,2,4,4.0,1,129
261750091,2,Theater District,40.76203,-73.98191,1,100,1,0,,7,230
273078104,2,Upper East Side,40.76966,-73.96688,0,239,1,0,,1,15
257261595,2,Harlem,40.80951,-73.95347,0,65,1,0,,1,32
238118741,0,Mott Haven,40.81132,-73.92037,0,115,3,19,3.41,1,228
235763046,3,Rosedale,40.66818,-73.73399,0,60,1,30,5.45,1,282
119990626,1,Bushwick,40.69862,-73.92849,1,60,7,1,0.13,1,173
50584770,2,East Village,40.72246,-73.98006,1,45,14,0,,1,0
9644281,2,Lower East Side,40.72082,-73.99028,0,300,1,2,0.05,1,0
23993707,3,Woodside,40.74668,-73.89723,1,35,5,9,0.16,2,0
706623,1,Bushwick,40.69439,-73.9068,1,69,4,5,0.09,4,98
12749467,2,East Village,40.73022,-73.98893,0,198,30,5,0.11,1,301
8503277,2,East Village,40.7281,-73.97952,0,100,5,3,0.07,1,0
13750728,0,Longwood,40.81928,-73.90933,1,60,2,47,1.22,4,249
106067584,1,Bedford-Stuyvesant,40.69025,-73.92491,1,225,1,0,,1,179
1709216,1,East Flatbush,40.63612,-73.946,0,325,2,19,0.31,4,328
197082458,2,Upper West Side,40.7773,-73.97736,0,350,2,9,1.32,1,286
54339185,1,Greenpoint,40.72963,-73.94937,1,45,1,0,,1,0
115844816,2,Murray Hill,40.74819,-73.97201,0,200,6,2,0.09,1,341
9791461,1,Fort Greene,40.69286,-73.96993,0,100,4,45,1.01,1,190
192874460,1,Flatlands,40.62915,-73.9198,0,125,2,64,4.92,1,194
167636238,1,Cypress Hills,40.68064,-73.88285,1,68,2,5,0.49,3,365
99494083,1,Bedford-Stuyvesant,40.68322,-73.93073,0,115,5,47,1.53,2,91
3188892,1,Williamsburg,40.71018,-73.94057,1,55,3,2,0.17,1,36
38908498,3,Long Island City,40.76506,-73.93234,0,65,15,1,0.06,1,0
17845933,2,Upper West Side,40.7889,-73.9729,0,300,5,3,0.08,1,9
166861637,2,Gramercy,40.73674,-73.98308,0,100,3,52,3.2,1,3
68094755,2,Midtown,40.75709,-73.96327,1,98,3,98,2.66,1,278
19474504,1,Bedford-Stuyvesant,40.68266,-73.94321,0,100,1,3,0.13,1,0
3129709,2,Upper West Side,40.7867,-73.96951,0,165,2,0,,1,5
16954523,1,Bushwick,40.68754,-73.91231,1,55,7,4,0.92,1,95
266505967,0,Fordham,40.86066,-73.89883,1,149,1,0,,1,363
10134825,2,Lower East Side,40.71286,-73.98437,1,102,2,6,0.13,4,0
33622924,2,Harlem,40.83155,-73.94804,1,85,1,52,1.39,4,355
69890625,1,Clinton Hill,40.68389,-73.96026,1,89,1,15,0.43,1,179
8125932,1,Windsor Terrace,40.65892,-73.98386,1,45,2,26,1.6,1,74
11243357,2,Tribeca,40.72345,-74.01001,0,299,4,3,0.16,1,0
480923,3,Long Island City,40.74606,-73.95765,0,130,30,1,0.02,1,0
263510,2,Upper West Side,40.78111,-73.97739,1,93,14,88,1.03,1,176
55939980,2,Midtown,40.75685,-73.96388,0,210,2,4,0.22,1,0
146944,2,East Village,40.72807,-73.98594,0,200,3,0,,1,0
155977656,3,Forest Hills,40.71711,-73.8347,1,70,1,34,1.67,1,93
16404967,2,Inwood,40.86699,-73.92689,0,90,1,17,1.68,1,64
164886138,2,Upper East Side,40.76014,-73.96098,0,140,1,25,1.67,11,330
5065719,1,Greenpoint,40.73226,-73.95285,1,60,1,2,0.05,1,0
17264040,0,Mount Hope,40.84819,-73.90648,0,125,2,41,0.81,2,342
228879817,3,Flushing,40.74588,-73.83284,1,49,1,14,2.76,6,121
41762539,1,Fort Hamilton,40.62139,-74.0319,0,125,1,1,0.09,1,0
115193518,1,Bushwick,40.70468,-73.92443,1,45,5,0,,3,0
114477998,2,East Harlem,40.79154,-73.94233,1,65,1,186,6.38,4,199
14001033,1,Williamsburg,40.71239,-73.96178,1,65,5,0,,1,0
26022066,1,Midwood,40.61295,-73.95366,1,50,1,10,0.3,1,0
2316568,2,East Village,40.72564,-73.98088,1,49,1,0,,1,0
6648212,2,Morningside Heights,40.81509,-73.96019,0,120,4,4,0.07,1,0
164391402,2,East Village,40.72167,-73.98066,1,125,1,3,0.38,1,365
40703442,2,Harlem,40.80872,-73.94228,0,150,1,2,0.07,3,0
22919533,1,Williamsburg,40.71193,-73.95956,0,200,3,32,3.58,2,141
46714717,2,Murray Hill,40.74796,-73.97018,0,144,3,0,,1,0
1287826,1,Prospect Heights,40.67603,-73.96941,0,135,4,2,0.04,1,0
85667130,3,Ditmars Steinway,40.77943,-73.9117,1,90,2,80,2.35,1,350
2628658,1,Bedford-Stuyvesant,40.68194,-73.93567,0,120,30,0,,2,45
116126452,1,Williamsburg,40.70721,-73.95341,0,160,2,17,0.59,1,3
107434423,2,East Village,40.72272,-73.98379,0,314,30,0,,232,330
52132241,1,Crown Heights,40.67293,-73.93273,1,54,2,53,2.3,1,8
81127692,1,Flatbush,40.64434,-73.95288,1,50,3,0,,2,311
263272705,3,Long Island City,40.75659,-73.93108,0,275,2,1,1.0,1,266
225942423,2,Harlem,40.80652,-73.94937,1,68,1,33,4.25,1,19
83809962,1,East Flatbush,40.66209,-73.92913,2,50,1,23,0.74,2,364
29513490,1,Bedford-Stuyvesant,40.6837,-73.93325,0,125,2,4,0.12,1,0
3543204,1,Bushwick,40.704,-73.91492,1,75,2,19,1.47,1,198
271162941,1,Midwood,40.62477,-73.95517,1,100,1,0,,3,330
35651880,2,Upper West Side,40.79874,-73.96034,0,130,3,18,0.39,1,0
167568754,3,Middle Village,40.71064,-73.87463,0,100,1,4,0.34,1,0
3422235,1,Fort Greene,40.68946,-73.97279,0,270,3,1,0.14,1,125
64426364,1,Bedford-Stuyvesant,40.68593,-73.95702,1,48,7,6,0.45,1,0
1475812,2,Nolita,40.72104,-73.99498,1,130,2,123,3.79,3,59
3248277,1,Williamsburg,40.70742,-73.94185,0,200,3,0,,1,0
253843480,1,Williamsburg,40.71801,-73.95244,1,43,1,2,1.09,1,249
5971264,0,Kingsbridge,40.86429,-73.90204,1,60,1,0,,1,83
38460304,1,Bedford-Stuyvesant,40.69169,-73.93142,0,130,4,34,0.73,2,340
22984995,2,West Village,40.73822,-74.00606,0,275,2,11,0.21,1,0
40595718,3,Ozone Park,40.68792,-73.83752,0,79,1,22,0.49,1,130
258035043,1,Bedford-Stuyvesant,40.67878,-73.9172,1,48,1,22,9.85,2,236
8961407,2,Harlem,40.80569,-73.94848,0,450,3,38,3.21,3,302
16223929,2,Hell's Kitchen,40.75525,-73.99597,0,639,3,4,0.38,1,108
36192346,2,Washington Heights,40.85415,-73.93108,1,40,2,9,0.2,1,0
60235514,1,Bushwick,40.7036,-73.92496,1,51,1,4,2.31,1,71
4636483,1,Sunset Park,40.63747,-74.01153,1,52,3,5,0.11,1,281
251625546,1,Crown Heights,40.66949,-73.92172,1,65,1,6,1.91,2,323
200380610,2,West Village,40.73485,-74.00313,0,188,30,0,,65,326
22264156,1,Clinton Hill,40.69456,-73.96439,1,120,1,3,0.63,1,0
196058543,3,Forest Hills,40.72133,-73.83928,1,58,2,35,3.85,5,235
310458,1,Park Slope,40.66588,-73.97833,1,60,14,1,0.03,2,0
54454582,2,Hell's Kitchen,40.76283,-73.99331,1,115,2,30,0.8,3,3
76572037,2,Battery Park City,40.70964,-74.01798,0,199,1,0,,1,43
6662358,1,Flatbush,40.64933,-73.96478,0,290,5,4,0.11,1,0
30283594,2,Hell's Kitchen,40.7617,-73.99762,0,275,30,2,0.08,121,365
177031514,1,Sheepshead Bay,40.58438,-73.95564,1,60,1,4,1.85,1,341
62533391,1,Borough Park,40.63573,-74.00552,1,60,1,1,0.26,7,350
46979077,3,Woodside,40.74286,-73.89163,1,50,1,57,4.37,2,295
20353296,2,East Harlem,40.79663,-73.94893,1,75,1,5,0.13,1,0
153754513,1,Williamsburg,40.71258,-73.94307,0,82,1,15,2.02,1,16
10910171,3,Rockaway Beach,40.58634,-73.81867,0,150,1,144,4.13,2,134
290317,2,Upper East Side,40.77305,-73.96283,2,99,3,48,1.53,1,0
226471554,1,Clinton Hill,40.68535,-73.96736,1,65,3,4,0.62,1,0
107675,1,Flatbush,40.64189,-73.96066,0,100,3,4,0.12,1,69
2520125,1,East New York,40.66045,-73.89873,0,72,4,121,2.54,2,33
55040763,2,Washington Heights,40.85911,-73.93087,1,50,2,6,5.0,1,29
96479013,1,Bedford-Stuyvesant,40.69499,-73.94822,1,81,5,42,1.58,3,63
10676792,1,Bedford-Stuyvesant,40.68457,-73.9262,0,120,2,5,0.13,2,0
15147054,1,Bushwick,40.69633,-73.93369,0,95,3,0,,2,0
458021,2,Nolita,40.72131,-73.99487,0,119,3,17,0.22,1,0
272747109,2,Kips Bay,40.74612,-73.9796,0,220,4,0,,1,78
33867639,2,Chinatown,40.71457,-73.9958,1,122,1,71,5.5,3,91
190921808,2,Hell's Kitchen,40.75562,-73.99539,1,55,30,8,0.71,47,351
108160091,1,Williamsburg,40.71002,-73.96114,0,218,30,25,0.82,3,342
253978780,2,Midtown,40.7528,-73.97092,0,150,12,4,1.38,1,118
6263282,1,Williamsburg,40.71813,-73.95981,0,212,2,51,0.91,1,147
102383709,2,Harlem,40.82914,-73.94736,1,69,4,153,4.74,2,125
17265086,2,Kips Bay,40.73898,-73.98233,0,150,2,18,0.81,1,0
39177865,1,South Slope,40.6612,-73.98568,0,70,70,3,0.08,1,0
1408973,2,SoHo,40.72493,-74.00307,0,235,3,73,0.94,1,44
1116256,1,Bushwick,40.70618,-73.91689,0,78,30,1,0.09,1,6
15488551,1,Williamsburg,40.7045,-73.94357,0,150,6,5,2.17,1,40
40529301,1,Fort Greene,40.69617,-73.97456,1,89,1,24,3.09,2,72
23500650,2,West Village,40.7385,-74.00378,0,200,1,0,,1,0
17015217,1,Bedford-Stuyvesant,40.68753,-73.93656,0,175,5,82,1.41,1,0
3130534,2,Upper East Side,40.77975,-73.94977,1,80,1,160,1.9,1,319
11975404,1,Bushwick,40.70088,-73.91836,1,50,3,22,0.98,2,0
203277214,2,Harlem,40.81033,-73.94286,0,150,3,30,2.59,1,159
58631330,1,Prospect-Lefferts Gardens,40.65862,-73.95808,1,75,2,0,,1,0
11320557,2,Chinatown,40.71624,-73.99995,1,100,2,35,4.32,1,6
161061302,2,Upper West Side,40.80244,-73.96592,2,50,1,1,0.48,2,363
277394,1,Windsor Terrace,40.6585,-73.98397,1,135,2,21,0.26,1,272
25237492,2,Washington Heights,40.84103,-73.94063,1,65,30,3,0.26,34,311
68927337,1,East Flatbush,40.65329,-73.92756,2,50,7,1,0.11,1,179
187544628,2,Hell's Kitchen,40.76142,-73.99431,0,390,3,1,1.0,1,5
11371357,1,Kensington,40.64644,-73.9756,0,95,1,10,0.21,1,0
10430261,1,Bushwick,40.6999,-73.92417,1,52,14,0,,1,31
3919533,1,Bushwick,40.69971,-73.93729,0,162,2,46,1.92,1,19
67130668,0,Concourse Village,40.82692,-73.92183,1,45,5,46,1.55,1,174
25311373,1,Bay Ridge,40.62398,-74.02786,1,79,1,0,,2,179
3858150,2,Morningside Heights,40.81165,-73.95639,1,60,9,7,0.15,1,0
8998805,2,Chelsea,40.75224,-73.99487,1,76,3,164,2.34,1,27
1490833,2,Upper West Side,40.7952,-73.9624,1,99,1,280,3.51,1,246
9828418,2,Washington Heights,40.84411,-73.93764,1,45,2,3,0.07,1,0
22308430,3,Jackson Heights,40.75462,-73.88284,0,144,2,13,0.3,1,288
48146336,2,Hell's Kitchen,40.76269,-73.99364,0,130,30,4,0.23,20,272
17065519,2,Harlem,40.80407,-73.95762,0,89,1,1,0.02,1,0
62641421,2,Upper East Side,40.7754,-73.95236,0,125,2,8,0.26,1,0
5556571,1,Williamsburg,40.70617,-73.93761,2,40,1,34,0.48,3,75
76451668,1,Bedford-Stuyvesant,40.68592,-73.92695,0,120,31,1,0.51,2,155
269055881,2,West Village,40.73243,-74.00333,1,160,3,1,1.0,1,52
16015663,3,Ditmars Steinway,40.77371,-73.91689,1,85,3,10,0.79,1,88
37580284,2,Lower East Side,40.71571,-73.98699,0,85,35,0,,1,0
67609111,2,Harlem,40.81515,-73.9421,1,80,1,0,,1,0
200697707,1,Bushwick,40.68764,-73.91445,1,65,1,57,4.76,1,48
2279174,2,Murray Hill,40.7494,-73.9784,0,220,30,6,1.94,1,135
121612198,1,Canarsie,40.64138,-73.91488,1,75,1,11,0.48,4,347
42741722,2,Harlem,40.82042,-73.95256,1,65,2,5,0.14,2,0
40321516,2,Nolita,40.72206,-73.99497,0,350,5,1,0.05,1,0
95459395,2,Hell's Kitchen,40.76115,-73.99823,0,499,30,0,,18,146
11322502,1,Bedford-Stuyvesant,40.68885,-73.95296,0,142,2,5,0.25,1,0
117711581,1,Midwood,40.62914,-73.9575,0,116,2,2,0.11,1,0
57128179,3,Rego Park,40.71639,-73.85799,1,60,2,12,1.45,2,19
62172448,2,Upper East Side,40.76471,-73.95819,1,85,1,2,0.06,2,0
4628519,2,Upper West Side,40.79072,-73.97252,0,150,3,0,,1,0
7756888,1,Flatbush,40.63609,-73.96687,1,69,2,1,0.04,1,0
743732,1,Bushwick,40.70043,-73.92266,0,70,30,0,,1,0
24508767,1,Williamsburg,40.71174,-73.94353,1,100,1,0,,1,0
113805886,2,Upper East Side,40.77747,-73.95193,0,190,31,4,0.21,33,299
126161542,2,Harlem,40.81942,-73.95796,0,99,2,5,2.88,1,0
219099148,3,Ridgewood,40.70605,-73.90374,1,50,1,14,1.7,1,272
1228080,2,East Village,40.72439,-73.97767,1,100,7,1,0.03,1,0
133810925,3,Rosedale,40.66524,-73.73283,1,84,1,89,4.01,3,356
25959120,2,East Harlem,40.78668,-73.94247,1,85,2,2,0.08,1,0
5642757,1,Flatbush,40.62918,-73.96348,0,100,3,9,0.16,1,0
220945034,1,Flatbush,40.63462,-73.95572,0,150,2,13,1.53,1,160
11722846,1,Williamsburg,40.715,-73.95018,0,80,10,3,0.06,1,0
45416627,3,Astoria,40.77002,-73.92332,1,50,1,27,2.02,9,363
1903737,1,Bushwick,40.69542,-73.93258,1,65,2,5,0.11,3,4
13615300,2,Harlem,40.82916,-73.9498,0,160,2,4,0.94,1,0
26814623,1,Brooklyn Heights,40.69016,-73.99311,0,149,2,13,0.52,1,0
109040481,2,Hell's Kitchen,40.75825,-73.98982,1,125,1,54,4.34,1,341
240460735,2,Theater District,40.76015,-73.98497,0,890,1,2,0.41,1,301
267744284,0,Melrose,40.82231,-73.91696,0,69,7,0,,1,254
20761853,2,Upper East Side,40.76812,-73.95403,1,79,1,62,2.58,2,258
15020878,2,East Harlem,40.80622,-73.93875,0,115,2,0,,1,3
127250744,1,Carroll Gardens,40.68036,-73.99247,0,180,3,4,0.53,1,5
24079691,1,Crown Heights,40.67863,-73.95859,1,70,1,2,0.17,1,0
158407820,3,Woodside,40.75375,-73.90037,1,57,2,21,1.94,5,125
72218656,2,Upper East Side,40.7626,-73.96031,0,199,3,57,1.51,1,93
87951927,2,Upper West Side,40.80046,-73.96598,1,75,1,5,0.22,1,0
78870889,1,Williamsburg,40.71791,-73.94242,1,65,3,0,,1,0
651770,2,East Village,40.72801,-73.98336,0,250,3,0,,1,0
137130915,1,Fort Greene,40.6971,-73.97316,1,102,2,1,0.07,1,0
3425965,3,Ridgewood,40.70719,-73.89632,1,75,14,11,0.15,1,332
198836713,2,Upper West Side,40.80154,-73.96106,0,550,3,5,3.85,1,320
189369825,2,Tribeca,40.71612,-74.01054,0,500,2,1,0.09,1,363
163458740,2,SoHo,40.72547,-74.0021,0,190,1,94,5.18,1,187
89031106,1,Greenpoint,40.72173,-73.94768,0,110,30,4,0.12,4,301
260609528,2,Battery Park City,40.7068,-74.01775,1,100,1,1,1.0,7,339
39038649,1,Red Hook,40.67817,-74.00991,1,52,2,41,2.94,1,3
10123248,1,Williamsburg,40.71688,-73.94584,0,250,2,88,1.31,1,223
39241960,2,Kips Bay,40.74164,-73.98275,1,175,2,41,1.18,1,242
40611169,1,Carroll Gardens,40.67793,-73.99531,0,150,1,78,2.22,5,365
2128192,1,Greenpoint,40.72485,-73.94582,1,99,5,0,,1,0
41911368,1,Prospect-Lefferts Gardens,40.65682,-73.95875,0,125,3,0,,2,0
22591930,1,Williamsburg,40.71901,-73.96303,1,70,2,1,0.16,1,0
2432924,1,Greenpoint,40.73413,-73.95835,1,49,14,0,,1,0
46234202,2,Upper East Side,40.769,-73.9541,0,200,2,5,0.11,1,0
60812510,2,Harlem,40.81818,-73.93905,1,49,1,12,0.33,1,0
1315849,1,Williamsburg,40.71028,-73.96128,1,75,2,5,0.06,2,365
30283594,2,Midtown,40.76545,-73.98156,0,239,30,1,0.23,121,351
3369352,3,Ditmars Steinway,40.77594,-73.90799,1,55,2,0,,1,35
18192996,3,Ditmars Steinway,40.7785,-73.91693,1,55,1,5,0.15,2,0
7721149,2,Washington Heights,40.83735,-73.94351,1,55,3,89,2.53,1,66
77365697,2,Chelsea,40.74032,-74.00265,0,110,4,6,0.16,1,0
11844979,1,Williamsburg,40.71846,-73.9616,0,2000,1,0,,4,177
340692,1,Greenpoint,40.72646,-73.95341,1,59,3,29,0.36,1,15
131379802,3,Sunnyside,40.7441,-73.92153,0,115,2,31,3.31,1,169
25161779,1,Williamsburg,40.71122,-73.95922,0,160,3,2,0.06,1,0
75385686,2,Washington Heights,40.83668,-73.94476,1,37,13,2,0.17,1,0
2009585,1,Cobble Hill,40.68785,-73.99181,0,145,3,13,0.22,1,0
13406954,1,Williamsburg,40.7121,-73.96156,1,80,1,1,0.03,3,0
758152,3,Sunnyside,40.74457,-73.9194,0,82,21,0,,1,0
62330502,0,Woodlawn,40.89753,-73.87359,1,50,1,6,0.71,1,0
4048448,1,Williamsburg,40.71435,-73.95073,0,200,3,4,0.05,1,0
7580514,2,Hell's Kitchen,40.76181,-73.98757,0,160,2,53,1.06,1,0
103129069,1,Bedford-Stuyvesant,40.69527,-73.9365,0,169,3,44,1.4,1,64
551139,1,Williamsburg,40.70666,-73.96526,0,210,3,31,0.57,1,0
6573459,2,Financial District,40.71086,-74.00721,0,525,2,3,0.36,1,158
84548731,1,Prospect-Lefferts Gardens,40.65531,-73.96161,1,50,4,6,0.22,1,6
14905237,1,Flatbush,40.64372,-73.95969,0,120,3,12,0.22,1,0
51913826,2,Nolita,40.72354,-73.99333,1,84,1,1,0.3,8,0
26555925,1,Bedford-Stuyvesant,40.68057,-73.95249,0,113,3,6,0.46,1,1
3780975,2,Harlem,40.80403,-73.95615,0,200,2,6,0.12,1,0
95786,2,East Village,40.72791,-73.98929,0,150,10,5,0.24,1,0
147186603,2,Greenwich Village,40.73004,-74.00128,0,350,3,1,0.26,1,7
162575767,2,SoHo,40.72044,-73.9998,0,800,2,0,,1,2
39476034,3,Jamaica,40.67203,-73.76711,1,159,1,0,,2,179
4426154,1,Prospect-Lefferts Gardens,40.65854,-73.962,0,75,2,2,0.15,1,0
4481028,2,Midtown,40.75249,-73.9689,0,140,3,1,1.0,1,5
95740953,2,Harlem,40.82887,-73.9487,1,55,2,3,0.16,1,0
20481502,2,East Village,40.72429,-73.98784,1,80,90,0,,1,173
5454042,1,Bedford-Stuyvesant,40.68874,-73.95684,1,54,2,14,0.52,1,0
834483,1,Greenpoint,40.72833,-73.94781,0,350,3,15,0.3,1,0
2350326,3,Ditmars Steinway,40.77811,-73.91065,1,70,1,5,4.69,2,31
261338177,1,Gravesend,40.59087,-73.97275,2,25,7,1,0.67,6,313
6901734,1,Clinton Hill,40.68843,-73.96239,0,155,2,114,1.82,1,314
25059364,2,Kips Bay,40.74138,-73.98168,1,115,1,19,6.63,3,37
24982391,1,Williamsburg,40.71248,-73.96379,1,90,1,5,0.11,1,0
44547688,1,East New York,40.67283,-73.87785,1,50,1,35,0.92,2,365
16266298,2,Little Italy,40.71883,-73.99716,0,220,2,119,1.93,1,0
2534058,2,Hell's Kitchen,40.76269,-73.98928,0,190,2,4,4.0,1,29
21091779,1,Bedford-Stuyvesant,40.68664,-73.92318,1,49,1,113,2.89,3,288
75819473,1,Crown Heights,40.67295,-73.95646,1,57,1,4,0.17,1,0
21010752,2,East Village,40.72185,-73.98237,1,49,4,2,0.35,2,0
10367443,2,SoHo,40.72149,-73.99815,0,900,3,10,0.17,1,0
198691406,2,Flatiron District,40.74043,-73.99277,0,1500,3,5,0.43,1,362
40548594,2,Financial District,40.70623,-74.0051,0,150,2,52,1.11,1,72
3660702,2,Chelsea,40.74754,-73.99036,1,69,1,63,2.34,4,29
14271995,2,Upper East Side,40.76767,-73.9558,0,110,3,8,0.32,1,0
10346273,1,Flatbush,40.63524,-73.96602,0,115,30,4,0.07,1,47
46502890,3,Jamaica Estates,40.72191,-73.78207,1,750,1,0,,2,0
1104166,1,Williamsburg,40.71164,-73.95173,1,95,2,7,0.77,4,3
105248014,1,East Flatbush,40.64608,-73.94738,1,80,1,71,8.99,2,35
88884610,2,Hell's Kitchen,40.75987,-73.99008,0,198,3,15,0.43,1,4
731904,2,East Village,40.72674,-73.9782,1,95,7,25,0.3,1,359
19785181,1,Bushwick,40.70166,-73.92673,0,136,3,10,0.4,1,0
24878584,2,East Village,40.72999,-73.98764,1,180,1,0,,1,0
2645592,3,Astoria,40.75666,-73.91449,0,130,3,50,1.27,2,352
5007316,2,Chelsea,40.74781,-74.00084,0,195,1,6,2.77,1,2
11134688,1,Williamsburg,40.71243,-73.95655,1,60,1,1,0.02,1,0
180523383,2,East Harlem,40.80305,-73.94163,0,185,1,5,1.2,1,338
3248699,3,Ditmars Steinway,40.77141,-73.91415,0,80,7,15,0.41,1,0
2490915,2,Upper East Side,40.77799,-73.95223,1,80,1,1,0.01,1,0
40076332,2,East Village,40.72644,-73.98403,0,175,5,0,,1,0
190921808,2,Hell's Kitchen,40.75391,-73.99709,1,62,7,9,0.75,47,337
173852911,3,Far Rockaway,40.59486,-73.73837,0,250,2,22,1.6,1,47
24831061,2,Midtown,40.76403,-73.98191,0,275,1,0,,8,0
36753915,1,Bedford-Stuyvesant,40.69379,-73.94539,0,94,2,37,0.88,1,0
150238950,2,East Village,40.72691,-73.9813,0,136,2,6,0.42,1,39
21507811,2,East Village,40.7293,-73.98325,1,95,2,4,0.31,2,0
118226205,1,Williamsburg,40.71738,-73.94158,1,69,2,61,2.14,3,42
14608821,1,Bedford-Stuyvesant,40.67905,-73.95422,1,42,7,0,,1,0
263545490,2,East Village,40.725,-73.97903,0,320,3,3,3.0,1,0
38753504,1,Bedford-Stuyvesant,40.67941,-73.9193,1,62,2,28,1.34,1,0
